c1,c2,u1,u2,t
10,24,0.21022,0.48745,10
10,25,0.20895,0.50728,8
10,26,0.20781,0.52671,10
10,27,0.20915,0.5487,6
10,28,0.21112,0.56492,7
10,29,0.20706,0.59228,5
10,30,0.21128,0.61275,8
10,31,0.20896,0.6316,10
10,32,0.21134,0.64894,7
10,33,0.20956,0.66776,5
10,34,0.20731,0.69451,6
10,35,0.21035,0.70897,7
10,36,0.20711,0.72991,10
10,37,0.21296,0.74779,6
10,38,0.20609,0.76762,7
10,39,0.20758,0.79011,9
10,40,0.20971,0.81073,11
10,41,0.20833,0.83019,4
10,42,0.21005,0.84283,4
10,49,0.21005,1.0,1
11,3,0.22401,0.07656,1
11,4,0.22969,0.09545,5
11,5,0.23155,0.11039,9
11,6,0.23302,0.12959,6
11,7,0.22959,0.14799,15
11,8,0.23418,0.16873,7
11,9,0.2291,0.19291,11
11,10,0.22462,0.21293,4
11,14,0.23266,0.29373,6
11,15,0.22906,0.30451,4
11,16,0.2337,0.32862,4
11,17,0.22947,0.34726,8
11,18,0.22986,0.37177,10
11,19,0.22957,0.38815,6
11,20,0.22755,0.40593,5
11,21,0.23016,0.4303,15
11,22,0.22849,0.45105,7
11,23,0.22818,0.46835,7
11,24,0.22311,0.49073,3
11,25,0.2283,0.51032,3
11,26,0.22969,0.52803,8
11,27,0.23374,0.54745,7
11,28,0.2316,0.57159,7
11,29,0.22727,0.58887,4
11,30,0.23057,0.61536,8
11,31,0.22734,0.63226,8
11,32,0.23198,0.64863,10
11,33,0.22791,0.66688,7
11,34,0.22706,0.68852,12
11,35,0.22879,0.70872,13
11,36,0.2326,0.73223,8
11,37,0.22751,0.74752,3
11,38,0.2321,0.77056,6
11,39,0.22901,0.79211,3
11,40,0.23275,0.8135,5
11,41,0.22632,0.82878,6
11,42,0.23211,0.84773,8
11,43,0.22384,0.86182,1
12,4,0.24789,0.08492,5
12,5,0.24632,0.11224,4
12,6,0.24935,0.13021,10
12,7,0.24819,0.15108,11
12,8,0.24865,0.16667,10
12,9,0.24801,0.18718,8
12,10,0.25481,0.20798,5
12,14,0.24146,0.28881,2
12,15,0.24028,0.30206,1
12,16,0.256,0.3381,2
12,17,0.2565,0.35193,1
12,18,0.25219,0.36566,5
12,19,0.24781,0.38844,3
12,20,0.25863,0.40203,1
12,21,0.2409,0.43497,2
12,22,0.24361,0.44562,4
12,23,0.24156,0.47523,1
12,24,0.25201,0.49828,1
12,25,0.24141,0.51615,2
12,26,0.2502,0.52629,1
12,27,0.24125,0.54861,1
12,28,0.24411,0.5718,2
12,29,0.24392,0.5908,2
12,30,0.24653,0.61102,2
12,31,0.24071,0.63037,1
12,32,0.24051,0.64167,1
12,33,0.24206,0.67249,1
12,34,0.25471,0.69206,2
12,35,0.24051,0.70822,1
12,36,0.24875,0.72606,8
12,37,0.24882,0.75237,2
12,38,0.25055,0.77313,4
12,39,0.25015,0.79397,8
12,40,0.24697,0.80854,4
12,41,0.24779,0.82995,6
12,42,0.25097,0.84646,6
12,49,0.25349,0.99187,1
13,4,0.26948,0.08829,10
13,5,0.26796,0.10759,12
13,6,0.26955,0.12816,8
13,7,0.27101,0.14845,5
13,8,0.26537,0.17531,7
13,9,0.2693,0.18936,9
13,10,0.26949,0.20968,7
